time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_missing_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_100m_C,kit_temperature_130m_C,kit_temperature_160m_C
2026-08-30 10:20:00+02:00,0.9898739663713289,2.007074925819108,0.1605659940655286,2.0,10.0,8.0,0.1605659940655286,p4031293,7,200,22.148298960594204,22.30886495465973,21.914733332595787,21.428954873761544,21.09129145469082,20.64653885877289,20.48310509324647
2026-08-30 10:30:00+02:00,2.513411342425001,8.12646267046877,0.6501170136375016,2.0,10.0,8.0,0.6501170136375016,p4042217,7,200,23.0658635737076,23.7159805873451,22.796289494552568,21.911415860122705,21.590614757541083,20.942495660808525,20.76922139928945
2026-08-30 11:00:00+02:00,2.886875940186333,15.12892387849374,1.226952781496692,2.0,10.0,8.0,1.210313910279499,p4070107,7,200,23.96071303429037,25.17102694456988,23.518063665451034,22.20640240796917,22.223041279186365,21.200588168728128,21.137362886960343
2026-08-30 11:20:00+02:00,2.7165470795143865,11.935257740894745,0.9548206192715796,2.0,10.0,8.0,0.9548206192715796,p4031276,7,200,24.3428819549866,25.29770257425817,23.77409121186825,22.68687699308268,22.251770606617992,21.72267556725223,21.654778442497285
2026-08-30 11:30:00+02:00,2.360873342389392,5.266375169801085,0.4213100135840868,2.0,10.0,8.0,0.4213100135840868,p4042200,7,200,24.63998976282504,25.061299776409125,23.92625670388788,22.80221300565593,22.13254140863638,21.61594750157417,21.49969140716807
2026-08-30 12:00:00+02:00,2.455091386824676,7.032963502962675,0.562637080237014,2.0,10.0,8.0,0.562637080237014,p4097101,7,200,24.53318132791141,25.095818408148432,23.78937024066157,22.63595832076776,22.01969486720934,21.51971418307805,21.45722302491253
2026-08-30 12:10:00+02:00,1.5534398256336406,3.250234909485972,0.2600187927588777,2.0,10.0,8.0,0.2600187927588777,p4112169,7,200,24.79668173898319,25.056700531742067,23.86248782777401,22.86087471897636,22.27258443295455,21.83399666477467,21.65610745791627
2026-08-30 12:20:00+02:00,1.99760556569513,4.230012277268669,0.3384009821814935,2.0,10.0,8.0,0.3384009821814935,p4031259,7,200,24.420920837982223,24.75932182016372,23.97068748492431,23.04870367713676,22.404259830000694,21.960393319026345,21.71171109128825
2026-08-30 12:30:00+02:00,1.329871967223379,2.757070515933924,0.2205656412747139,2.0,10.0,8.0,0.2205656412747139,p4042183,7,200,25.22769582944113,25.448261470715845,24.316094659484826,23.298706873463967,22.57471202177466,22.030959222460886,21.704678347923267
2026-08-30 13:00:00+02:00,2.446773872170311,6.877010103193326,0.5501608082554661,2.0,10.0,8.0,0.5501608082554661,p4138185,7,200,25.31023819029237,25.86039899854784,24.068414255798302,23.09150894306949,22.48870240458353,22.021587871705684,21.963494417289745
2026-08-30 13:10:00+02:00,2.413404451335452,6.251333462539721,0.5001066770031777,2.0,10.0,8.0,0.5001066770031777,p4112152,7,200,25.515330679431933,26.01543735643511,24.47997080340572,23.49968131945801,22.93016624627722,22.44687306605633,22.33974470006305
2026-08-30 13:20:00+02:00,2.491943904146801,7.723948202752506,0.6179158562202005,2.0,10.0,8.0,0.6179158562202005,p4031242,7,200,25.338193153739933,25.956109009960134,24.32960047663876,23.309740991139734,22.680410822275977,22.17008569491577,22.077854463325497
2026-08-30 13:30:00+02:00,2.359128489312873,5.233659174616356,0.4186927339693085,2.0,10.0,8.0,0.4186927339693085,p4042166,7,200,25.541069779186262,25.95976251315557,24.258168940093963,23.343994038289384,22.68395948857524,22.214318978494187,22.12871349955747
2026-08-30 14:00:00+02:00,2.392044706620884,5.850838249141566,0.4680670599313252,2.0,10.0,8.0,0.4680670599313252,p4138168,7,200,25.747335837959334,26.21540289789066,24.58320531768797,23.697315844724045,23.04712482648543,22.59758264414753,22.563019780759152
2026-08-30 14:10:00+02:00,0.4095235719003706,0.7268902321331705,0.0581512185706536,2.0,10.0,8.0,0.0581512185706536,p4181480,7,200,26.28826327907947,26.346414497650123,24.99275598455805,24.0313786515656,23.4068825928968,22.906216666969044,22.79619600834909
2026-08-30 14:20:00+02:00,2.0551411014354084,4.356928900225165,0.3485543120180132,2.0,10.0,8.0,0.3485543120180132,p4031224,7,200,26.230085220153843,26.578639532171856,24.91935090965267,23.996141339477564,23.342170723981607,22.931609522003143,22.833025284599323
2026-08-30 14:30:00+02:00,0.6684762196066985,1.2981093079559525,0.1038487446364762,2.0,10.0,8.0,0.1038487446364762,p4042148,7,200,26.346625404926325,26.4504741495628,25.05851208737181,24.141526314374296,23.30961009135115,22.93383013724128,22.82288539281209
