time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_missing_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_100m_C,kit_temperature_130m_C,kit_temperature_160m_C,kit_temperature_200m_C
2026-09-05 00:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p372056,8,,25.482544572204617,25.438937279289227,25.427031875717137,25.25800973194629,24.971464281803044,24.732366803248205,24.50960299597931,24.001017730567938
2026-09-05 00:10:00+02:00,0.4278509424873965,0.767318255486904,0.0613854604389523,2.0,10.0,8.0,0.0613854604389523,p375734,8,,25.319919633102465,25.381305093541418,25.31389236155699,25.16348324825799,24.8531034290772,24.594499616222464,24.36503930210113,23.850013963165285
2026-09-05 00:40:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p386902,8,,23.719121359313984,23.654868965061155,23.26359877853393,22.910756100329078,22.414398006851467,22.09693475421124,21.79714247350565,21.250110513198827
2026-09-05 01:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p372039,8,,22.831482118091625,22.70498635508474,22.354823174331624,22.096400917945928,21.65062020057304,21.341010067523168,21.07678378909049,20.55074929970932
2026-09-05 01:10:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p375717,8,,22.68132133054356,22.5174981197446,22.21090704652404,21.963517669469205,21.52991253197666,21.22243096579845,20.951520743616747,20.39844612248995
2026-09-05 01:40:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p386885,8,,22.319775848243733,22.14689646775309,21.80707627598566,21.54201625613908,21.106744436118134,20.80803303808844,20.561758755053194,20.030803800090776
2026-09-05 02:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p372022,8,,22.106495470138576,21.8948655381597,21.608211952926588,21.362006561851537,20.96339717272966,20.64458312706203,20.41438078710172,19.901841534374224
2026-09-05 02:10:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p375700,8,,21.726480076850915,21.42053748868434,21.1842126069488,20.95067108349102,20.63936143433611,20.120273667149835,19.94435148405456,19.62846428453446
2026-09-05 02:40:00+02:00,1.7185438565774227,2.583377250435941,0.7039721013742231,2.0,30.0,28.0,0.6077894346045696,p386868,8,,18.664680149501827,18.755794134019208,19.2724695841064,19.2275168288676,19.323699495637253,18.869629476011426,18.790227257316563,18.51420450028992
2026-09-05 03:00:00+02:00,0.561581027198814,0.2423715407982208,0.0969486163192883,60.0,100.0,40.0,0.0969486163192883,p409459,8,,18.827935937034628,18.603605982786842,18.526079303604085,18.41923533155066,18.516183947869948,18.204748719757333,18.17829997264354,18.00659759313966
2026-09-05 03:10:00+02:00,0.4779019347331082,0.1168529020996622,0.0467411608398649,60.0,100.0,40.0,0.0467411608398649,p375682,8,,18.719465473598508,18.58404926824186,18.384959680633497,18.341164753959625,18.38790591479949,18.316418577307203,18.288462403610225,18.09044990309145
2026-09-05 03:40:00+02:00,0.921271680317296,0.348771348758324,0.1226447112209498,30.0,100.0,70.0,0.1226447112209498,p386851,8,,18.21278618218233,18.181528342895472,17.921048535034153,18.02567993966165,18.043693246255103,17.993253300159985,17.84071583742777,17.418906406330116
2026-09-05 04:00:00+02:00,1.4212032014667642,1.157867190797776,0.38708448772148074,30.0,100.0,70.0,0.38708448772148074,p409442,8,,18.12375865762334,17.90649317825698,17.726998097061127,18.07435825430046,18.114082584782608,17.930266864380265,17.615204419194537,17.314086607021352
2026-09-05 04:40:00+02:00,2.77025912600519,2.379924614045924,1.3774339205802306,10.0,100.0,90.0,1.3774339205802306,p386833,8,,17.03987073646167,17.019760729259477,17.089509041931137,17.803486426144914,18.397194649839708,18.366223523300857,18.24779869609577,17.90943588344576
2026-09-05 05:00:00+02:00,2.536262945270064,1.7038350604166062,1.3120933816551315,2.0,100.0,98.0,1.3120933816551315,p409425,8,,16.901539689029722,16.946413754497517,17.17799984275815,17.689150360883133,18.213633070684853,18.14102904963073,18.08125442277272,17.75343438346482
2026-09-05 06:00:00+02:00,1.7088890871463787,1.2492972283598054,0.4637552937036844,10.0,100.0,90.0,0.4637552937036844,p409408,8,,17.163894151947044,16.75159689750035,16.812704916061346,17.187494084569288,17.215352191204033,17.15652614096726,17.11849056934101,16.983588953964226
2026-09-05 07:00:00+02:00,2.830006477457675,2.128549976946452,1.467879730018641,10.0,160.0,150.0,1.467879730018641,p409390,8,,15.794375981033367,15.681520588915483,16.107230584304773,16.627874711982724,16.838666929430506,16.928199378553025,17.149400318934124,16.898440829051967
