time,kit_mast_index,kit_max_positive_gradient_K_per_100m,kit_positive_deltaT_K,kit_inversion_base_m,kit_inversion_top_m,kit_inversion_depth_m,kit_inversion_deltaT_K,kit_source_id,kit_profile_levels,kit_missing_levels,kit_temperature_2m_C,kit_temperature_10m_C,kit_temperature_30m_C,kit_temperature_60m_C,kit_temperature_100m_C,kit_temperature_130m_C,kit_temperature_160m_C
2026-08-30 06:30:00+02:00,2.08510777496322,3.5112689348216986,0.6009003015518104,2.0,30.0,28.0,0.6009003015518104,p3949412,7,200,19.663864925636314,19.94476644042205,20.264765227188125,20.230759954322803,20.046679093647874,19.855424326429524,19.69866161154175
2026-08-30 07:30:00+02:00,1.737105567743702,2.87568837200749,0.4602453284110588,2.0,30.0,28.0,0.4602453284110588,p3949395,7,200,20.45369510400774,20.68375017376834,20.9139404324188,20.672211437151635,20.422556775775,20.152801370689616,20.14842675533805
2026-08-30 08:30:00+02:00,0.5549232824044943,1.0476248876569727,0.0838099910125578,2.0,10.0,8.0,0.0838099910125578,p3949378,7,200,21.33137260161211,21.415182592624667,21.09914186544797,20.7524476524454,20.36891421383024,20.05310762348636,19.947657172520938
2026-08-30 09:30:00+02:00,2.631441460639898,10.339527386998082,0.8271621909598466,2.0,10.0,8.0,0.8271621909598466,p3949361,7,200,22.34440809486011,23.17157028581996,22.24393377485652,21.56713226267749,21.13278426224408,20.660695597936908,20.64917138647972
2026-08-30 10:20:00+02:00,0.9898739663713289,2.007074925819108,0.1605659940655286,2.0,10.0,8.0,0.1605659940655286,p4027615,7,200,22.148298960594204,22.30886495465973,21.914733332595787,21.428954873761544,21.09129145469082,20.64653885877289,20.48310509324647
2026-08-30 10:30:00+02:00,2.513411342425001,8.12646267046877,0.6501170136375016,2.0,10.0,8.0,0.6501170136375016,p4038539,7,200,23.0658635737076,23.7159805873451,22.796289494552568,21.911415860122705,21.590614757541083,20.942495660808525,20.76922139928945
2026-08-30 11:20:00+02:00,2.7165470795143865,11.935257740894745,0.9548206192715796,2.0,10.0,8.0,0.9548206192715796,p4027598,7,200,24.3428819549866,25.297702574258174,23.77409121186825,22.68687699308268,22.251770606617992,21.72267556725223,21.654778442497285
2026-08-30 11:30:00+02:00,2.3608733423893913,5.266375169801085,0.4213100135840868,2.0,10.0,8.0,0.4213100135840868,p4038522,7,200,24.63998976282504,25.061299776409125,23.92625670388788,22.80221300565593,22.13254140863638,21.615947501574166,21.49969140716807
2026-08-30 12:20:00+02:00,1.99760556569513,4.230012277268669,0.3384009821814935,2.0,10.0,8.0,0.3384009821814935,p4027581,7,200,24.420920837982223,24.75932182016372,23.97068748492431,23.04870367713676,22.404259830000694,21.960393319026345,21.71171109128825
2026-08-30 12:30:00+02:00,1.329871967223379,2.7570705159339237,0.2205656412747139,2.0,10.0,8.0,0.2205656412747139,p4038505,7,200,25.22769582944113,25.448261470715845,24.316094659484822,23.298706873463967,22.57471202177466,22.030959222460886,21.704678347923267
2026-08-30 13:20:00+02:00,2.491943904146801,7.723948202752506,0.6179158562202005,2.0,10.0,8.0,0.6179158562202005,p4027564,7,200,25.338193153739933,25.956109009960134,24.329600476638756,23.309740991139734,22.680410822275977,22.17008569491577,22.077854463325497
2026-08-30 13:30:00+02:00,2.3591284893128726,5.233659174616356,0.4186927339693085,2.0,10.0,8.0,0.4186927339693085,p4038488,7,200,25.541069779186266,25.959762513155574,24.258168940093963,23.343994038289384,22.683959488575237,22.214318978494187,22.12871349955747
2026-08-30 14:20:00+02:00,2.0551411014354084,4.356928900225165,0.3485543120180132,2.0,10.0,8.0,0.3485543120180132,p4027546,7,200,26.230085220153843,26.578639532171856,24.91935090965267,23.996141339477564,23.342170723981607,22.931609522003143,22.833025284599323
2026-08-30 14:30:00+02:00,0.6684762196066985,1.2981093079559525,0.1038487446364762,2.0,10.0,8.0,0.1038487446364762,p4038470,7,200,26.346625404926325,26.4504741495628,25.058512087371806,24.141526314374296,23.30961009135115,22.933830137241277,22.82288539281209
